pdbcode,resolution,year,pK,comment
2r58,2.00,2007,2.00,(MLY)
3c2f,2.35,2008,2.00,(PRP)
3g2y,1.31,2009,2.00,(GF4)
3pce,2.06,1998,2.00,(3HP)
4qsu,1.90,2014,2.00,(TDR)
4qsv,1.90,2014,2.00,(THM)
4u54,2.41,2015,2.06,(3C5)
3ao4,1.95,2011,2.07,(833)
4cs9,2.01,2014,2.10,(AMP)
2w8w,2.14,2009,2.12,(PLS)
3gv9,1.80,2009,2.12,(GV9)
6r9u,1.26,2019,2.12,(JVQ)
6abx,1.70,2019,2.14,(FLC)
4q90,1.54,2015,2.15,(4H2)
5cs3,2.50,2015,2.15,(EP1)
4tim,2.40,1992,2.16,(2PG)
5fe6,1.77,2016,2.16,(5WZ)
6ghj,2.26,2018,2.16,(3-mer)
3gqz,1.80,2009,2.17,(GF7)
4y3j,1.31,2016,2.17,(HIC)
5oxk,2.38,2018,2.17,(2-mer)
5z5f,2.10,2018,2.17,(FUB)
4ahr,1.90,2012,2.19,(I2E)
4ahs,1.75,2012,2.19,(AKH)
4mre,1.58,2014,2.19,(2C9)
1x8d,1.80,2005,2.21,(RNS)
4g0z,1.75,2012,2.21,(5GP)
1m0n,2.20,2002,2.22,(HCP)
2aac,1.60,1997,2.22,(FCB)
4aci,1.65,2012,2.22,(CIT)
4ury,2.47,2015,2.22,(RV1)
1ajp,2.31,1997,2.23,(OMD)
3ao5,1.80,2011,2.23,(BBY)
3i3b,2.20,2010,2.23,(149)
5m9w,1.21,2017,2.24,(7GR)
1ew8,2.20,2002,2.26,(PAE)
4np2,1.75,2014,2.26,(2L1)
1uto,1.15,2004,2.27,(PEA)
4ahu,1.90,2012,2.27,(ICO)
1ps3,1.80,2003,2.28,(KIF)
3ip8,1.50,2009,2.28,(B85)
4ddk,1.75,2013,2.29,(0HN)
3dyo,1.80,2008,2.30,(IPT)
3kgq,1.70,2010,2.30,(CIT)
3mhw,1.45,2010,2.30,(ABV)
3pcg,1.96,1998,2.30,(4HP)
3rv4,1.98,2011,2.30,(ADP)
4g0y,1.65,2012,2.30,(AMP)
